Hotel_name,name,rating,review
The Phoenix Hotel Yogyakarta - Handwritten Collection,Jim D,5.0,"['fantast', 'hotel', 'wonder', 'introduct', 'indonesia', 'comfort', 'pool', 'overlook', 'room', 'night', 'much', 'enjoy', 'return', 'night', 'hotel', 'swim', 'comfort', 'room', 'includ', 'breakfast', 'highlight', 'particular', 'like', 'wide', 'rang', 'food', 'particular', 'indonesian', 'food', 'avail', 'staff', 'happi', 'guid', 'us', 'local', 'eat', 'food', 'mix', 'various', 'tonic', 'staff', 'also', 'happi', 'fill', 'drink', 'bottl', 'day', 'explor', 'jogja', 'hotel', 'well', 'locat', 'close', 'airport', 'rail', 'station', 'bank', 'atm', 'machin', 'close']"
The Phoenix Hotel Yogyakarta - Handwritten Collection,Maja G,4.0,"['spent', 'night', 'boy', 'age', 'staff', 'brilliant', 'servic', 'bed', 'comfort', 'love', 'view', 'balconi', 'pool', 'room', 'love', 'cool', 'given', 'outsid', 'temperatur', 'hotel', 'central', 'locat', 'given', 'also', 'ramadan', 'surpris', 'quiet', 'room', 'bliss', 'long', 'flight', 'uk', 'boy', 'love', 'gym', 'high', 'recommend', 'hotel', 'need', 'improv', 'food', 'breakfast', 'immens', 'realli', 'focuss', 'high', 'process', 'food', 'sugar', 'offer', 'less', 'select', 'everyth', 'focuss', 'qualiti', 'quantiti', 'might', 'win', 'formula', 'phoenix']"
The Phoenix Hotel Yogyakarta - Handwritten Collection,Susan S,5.0,"['beauti', 'old', 'hotel', 'mani', 'special', 'touch', 'suit', 'love', 'big', 'bathroom', 'tub', 'love', 'amen', 'dine', 'area', 'grand', 'mani', 'station', 'food', 'world', 'lot', 'meal', 'option', 'gorgeous', 'pool', 'use', 'spa', 'massag']"
The Phoenix Hotel Yogyakarta - Handwritten Collection,Jan-Markus H,4.0,"['like', 'mix', 'coloni', 'indonesian', 'flavor', 'hotel', 'hotel', 'bit', 'rustic', 'old', 'thus', 'beauti', 'decor', 'room', 'okay', 'old', 'fashion', 'hotel', 'nice', 'pool', 'area', 'ok', 'gym', 'also', 'spa', 'massag', 'breakfast', 'buffet', 'nice', 'select', 'disappoint', 'cold', 'food', 'even', 'one', 'first', 'breakfast', 'hope', 'better']"
The Phoenix Hotel Yogyakarta - Handwritten Collection,Md Aman,3.0,"['heritag', 'hotel', 'locat', 'near', 'yogyakarta', 'monument', 'post', 'antiqu', 'artifact', 'display', 'around', 'hotel', 'give', 'coloni', 'feel', 'room', 'nice', 'cozi', 'love', 'balconi', 'view', 'pool', 'howev', 'room', 'locat', 'far', 'end', 'requir', 'long', 'maze', 'like', 'walk', 'get', 'lobbi', 'restaur', 'access', 'within', 'hotel', 'could', 'improv', 'buffet', 'breakfast', 'good', 'mix', 'western', 'local', 'cuisin', 'staff', 'polit', 'friend']"
The Phoenix Hotel Yogyakarta - Handwritten Collection,Kwong L,5.0,"['stay', 'day', 'phoenix', 'realli', 'impress', 'aspect', 'hotel', 'central', 'conveni', 'locat', 'excel', 'valu', 'money', 'hotel', 'staff', 'recept', 'restaur', 'except', 'warmth', 'welcom', 'alway', 'help', 'attent', 'alway', 'friend', 'smile', 'noth', 'much', 'even', 'pack', 'us', 'breakfast', 'earli', 'airport', 'departur', 'room', 'excel', 'beauti', 'decor', 'comfort', 'spacious', 'delux', 'clean', 'everyth', 'one', 'need', 'holiday', 'stay', 'phoenix', 'heritag', 'hotel', 'decor', 'beauti', 'tast', 'glitzi', 'like', 'hotel', 'make', 'sit', 'lobbi', 'read', 'room', 'open', 'space', 'restaur', 'rest', 'whole', 'place', 'felt', 'spacious', 'long', 'corridor', 'open', 'courtyard', 'breakfast', 'wide', 'sumptuous', 'spread', 'local', 'asian', 'western', 'choic', 'good', 'select', 'fruit', 'juic', 'start', 'day', 'restaur', 'menu', 'good', 'reason', 'price', 'treat', 'tour', 'hotel', 'given', 'talk', 'histor', 'signific', 'older', 'origin', 'part', 'interest', 'architectur', 'valu', 'pride', 'hous', 'soekarno', 'offic', 'yogya', 'briefli', 'capit', 'indonesia', 'recommend', 'hotel', 'phoenix', 'total', 'stay', 'go', 'yogya']"
The Phoenix Hotel Yogyakarta - Handwritten Collection,Trip.com Member,5.0,"['hotel', 'realli', 'beauti', 'histori', 'atmospher', 'although', 'hardwar', 'old', 'well', 'maintain', 'bath', 'water', 'larg', 'kid', 'love', 'pool', 'peopl', 'stay', 'two', 'night', 'breakfast', 'rich', 'everi', 'day', 'would', 'new', 'dish', 'would', 'complet', 'repeat', 'nice', 'sit', 'outsid', 'breakfast']"
The Phoenix Hotel Yogyakarta - Handwritten Collection,Maja G.,4.0,"['great', 'locat', 'comfort', 'bed', 'staff', 'brilliant', 'exceed', 'expect', 'thing', 'realli', 'need', 'improv', 'food', 'realli', 'much', 'choic', 'breakfast', 'enough', 'qualiti', 'ingredi', 'hotel', 'tri', 'cater', 'absolut', 'eventu', 'without', 'well', 'enough', 'lot', 'process', 'food', 'sugar', 'enough', 'fresh', 'qualiti', 'ingredi']"
The Phoenix Hotel Yogyakarta - Handwritten Collection,Aidah S,5.0,"['book', 'phoenix', 'hotel', 'night', 'arriv', 'april', 'check', 'late', 'front', 'desk', 'help', 'first', 'night', 'room', 'room', 'toilet', 'flush', 'system', 'good', 'request', 'chang', 'room', 'hotel', 'kind', 'accommod', 'room', 'chang', 'also', 'happi', 'breakfast', 'select', 'servic', 'staff', 'shendi', 'friend', 'help', 'definit', 'consid', 'hotel', 'next', 'trip']"
The Phoenix Hotel Yogyakarta - Handwritten Collection,Trip.com Member,4.0,"['overal', 'hotel', 'decor', 'look', 'high', 'grade', 'comfort', 'layout', 'beauti', 'sens', 'histori', 'worth', 'stay', 'hot', 'water', 'kettl', 'room', 'broken', 'point', 'deduct', 'small', 'detail', 'also', 'may', 'sound', 'insul', 'good', 'morn', 'clean', 'staff', 'frequent', 'open', 'close', 'room', 'clean', 'rest', 'help', 'check', 'earli', 'could', 'staff', 'bad', 'mood', 'behav', 'rude']"
