Hotel_name,name,rating,review
Ciputra World Hotel Surabaya,Caroline A,5.0,"This hotel is amazing. Great rooms and helpful staff. Check in check out process was also quite fast. Stayed in this hotel for 1 night. Loving everything the minute I stepped into the lobby of this hotel. The infinity pool area is spectacular especially the view and its jacuzzi area. Also, Mr.UNGGUL as the Pool Staff really blew me away with his attentiveness and willingness to help. Deserving of its 5 star rating."
Ciputra World Hotel Surabaya,saint_p3g4zus,5.0,"Excellent service, friendly staffs, especially at pool with Pak Unggul as pool attendant. Restaurant staffs also similar services for all staffs but not have a chance to see all names. The food also good for 5 stars hotel. The only things to be changed is theme for rooms which “scary” enough for kids|Need some change and refreshment for rooms theme"
Ciputra World Hotel Surabaya,Aris A,5.0,"Dibantu oleh kak siwi yang helpful pada saat check in, smooth check in and the staff very helpful. Thanks for the best service during my stay. Overall okay and so far so good for the facilities or menu breakfast. I will come back to here again maybe after eid al fitr"
Ciputra World Hotel Surabaya,selasih l,5.0,"5 star hotel with the great people, facilities, and service. Got a warm greeting from Ms. Sela while i had breakfast today. The room is so good. I was so confused about the room's facility and when i asked to the reception, they responded it quickly. Very happy to be here. Thank you Ciputra World Hotel Surabaya!"
Ciputra World Hotel Surabaya,Garry Brumadyadisty,5.0,Thank you for the hospitality of Ciputra World Hotel Management. And wow... that's an awesome surprise in my birthday. The staff and the management are kind. The food is delicious. Everything is perfect. I have no hesitate to come to this Hotel again. Highly recommended hotel in Surabaya. The best.
Ciputra World Hotel Surabaya,Eric Effin' P - MTB Content,4.0,"Visited Feb '23

Staff - great. Polite and helpful.

Premise - quite well maintained. Very lush feel. Beside a mall. Pool is a tad too small. View was nice. Near to a mosque so expect prayer sound on the constant.

Room - big and nice. Smells good for smoking room. Odd was the light switches. Almost couldn't find the room lights but did not manage to find the toilet light switches. AC didn't work when arrived but was taken care thereafter. Apologies came in the form of fruit platters daily.

Overall, is a good place to stay. Not so much for staycation however due to small pool size. All else was good for a getaway if need be. Priced fair for the quality of hotel, can consider this hotel should you want a less crowded area."
Ciputra World Hotel Surabaya,shali72,5.0,Sella has very good personality and gives me great comfort on staying this hotel. From check in till staying plus a wonderful breakfast spread. Well done for all staff here. Will definitely come back again.
Ciputra World Hotel Surabaya,Nomad37351438102,5.0,"Stay disini nyaman sekali dibantu upgrade dengan Kak Siwi yang very helpful and always smile. The receptionist very help me to fast check in, im so comfy to stay here . Thanks siwi again, bext i will to stay here again awith family. First stayy in cws"
Ciputra World Hotel Surabaya,tbs PL,4.0,"been here for 2 nites. thanks to Ms Tiwi at reception, who had upgrade our room. excellent service & hospitality. keep the service excellent"
Ciputra World Hotel Surabaya,Kenneth F,5.0,"Wanting to return is a great sign of a memorable stay. Hotel Ciputra World Surabaya is a place that always feels like home, making it perfect for repeat visits. Spending time with loved ones here is always a joy. The warm welcome from the friendly staff adds to the charm of the experience. Thank you Team Hotel Ciputra World Surabaya 🩵"
Ciputra World Hotel Surabaya,evan dewabrata,4.0,"The Staff is very helpfull and friendly. Always offer you help anytime you need with a big smile.

point to improve: will be much much better if the request to give review on the google, can be done after the guests are having their breakfast.. not in the middle of it."
Ciputra World Hotel Surabaya,nureko l,5.0,"When I stayed here it was very comfortable, especially in the Wellness area, namely in the Gym and Swimming pool, there was Mr. Unggul Staff who was very helpful and friendly... Thank you Ciputra World Hotel Surabaya"
Ciputra World Hotel Surabaya,Dini Kusumawardhani,5.0,"the room I was checked in has standard size, but the ceiling is high so it is fine and feels big. the service was really great; breakfast box will be prepared if you are in hurry to airport and have no time to eat breakfast, but you have to request it to the receptionist. meals at the restaurant were varied and delicious. I had a wonderful stay here!"
Ciputra World Hotel Surabaya,Koh Wee Liang,5.0,"The hotel is very clean and the service is top notch. The stuff always willing to help with a smile on a daily basis, as expected of a great customer service. The aircon is cold, wifi connection is great, toilet is clean and the bed/pillows are comfortable. All in all, one of the best hotel in Surabaya and one that I will come back again. The only downside for this hotel is wall is not exactly soundproof, noises and conversations from connecting rooms can be heard easily, there are instances when I open the door when the bell of the connecting rooms are pressed. Also the mall connected to the hotel (ciputra mall) is very empty with not much shopping /entertainment/ attractions"
Ciputra World Hotel Surabaya,Ayesha Aziz,5.0,"Always a preferred hotel in Surabaya due to its service, comfort, decor, breakfast with gluten free bread.
Hotel is connected to the mall which is a big facility.
After the pandemic, some elements can use renovation like carpets in the room look old, bathrooms can use and upgrade or touch up or a deep cleaning to cover up those corners which are collecting mold now.
Still the high quality of furniture and fixtures speaks of the hotel’s former glory."
Ciputra World Hotel Surabaya,ZenRYL ReaDy,5.0,"i really love the skyview from infinity pool, their pool had the best view ive had so far among all the hotel in surabaya, and their service is excellent, thank you for staff rendra and baku for guiding me direction to the pool, ps: best photographer u could ever get"
Ciputra World Hotel Surabaya,cis antono,5.0,"5 star hotel located in a big complex of mall, hotel, apartment and office. The hotel entrance is located at the backside of the mall and it has a direct access to the mall also.

The lobby:
Located on the 8th floor. A very clean and spacious lobby gives off the 5 star hotel vibes. Very friendly and helpful staff.

The room:
Great, a 5 star standard. However in my personal view the hotel can design a better design for the backboard of the bed. Amenities are standard, however no hair comb available. The floor is using carpet to minimize footsteps sound. The walls are not soundproof. I can still hear the noise from the next room. AC works well.

The facility:
Located on the 22nd floor. The swimming pool is quite small, but OK if it is not crowded. Gym has decent and complete equipment. They sell gelato also next to the gym.

The restaurant:
Located on the 7th floor. The restaurant is very clean. They served a variety of dishes, from dim sum, noodles, rice, traditional foods etc. The taste is OK but can be improved in my opinion."
Ciputra World Hotel Surabaya,Arbella Kusuma,5.0,"Had a great experience staying at Ciputra with my parent and family. Worth every penny! Room is beyond expectation, service is immaculate. Breakfast dishare could be better. Ayam semur and hot ginger are my favorite. Service during breakfast is Excellent especially Erin. Thanks Ciputra Hotel! Will be back."
Ciputra World Hotel Surabaya,Fanny PARENGKUAN,5.0,"Staffs are friendly with  excelent services. Excelent product knowledge. Fresh ambience at lobby  with beautiful flower arrangement , love the mascot BOTERO.. keep up the excellent work!!!!"
Ciputra World Hotel Surabaya,thomas a,5.0,"I will tell you guys about my experience 7 days stay at this Hotel.||Best hotel with the worth price.|The staff really helpful and friendly, especially Unggul and Arif.|Breakfast at this hotel is so delicious too.|Room and  bed are comfy too.|Thankyouuuuuuuuu!!"
Ciputra World Hotel Surabaya,れん（Ren）,2.0,"Pros:
1. attached to Ciputra shopping mall
2. I got upgraded to deluxe room because the standard non smoking room was fully booked
3. friendly staffs

Cons:
1. This hotel is monetizing too much from the parking charge, because if the drop off is more than 5 minutes, langsung kena parkir Rp 10.000.
I was so surprised the parking charge starts from 10.000 instead of 5.000 like in Jakarta. It’s too expensive, even for Surabaya standard.

2. The food quality and portion for breakfast was not satisfactory.
- the grilled tomato is not grilled at all, and it got funky smell like bau kain lap. I almost throw up when I taste it.
- the potatos only left like 3 pieces, it was not refilled. I had breakfast around 9AM so I wonder why the food has finished already
- same as potatoes, the baked beans also almost finished. And its overcooked.
- the cappuccino cup is sooo small. Not a proper cup for cappuccino. It tastes bland too.

3. The gym has too many gym equipment that it has no space for long mirrors for weightlifting area. This is the first time I found a gym in a hotel (and its a 5 stars hotel) that provide no space for weight lifting. I had to scoop near the wall to find a space.
I mean, not everyone goes to the gym untuk pakai alat only or treadmill only. A gym is supposed to cater all means of working out.

3. The main door for ladies’ toilet and sauna room cannot be closed properly, jadi pintunya selalu agak sedikit terbuka. People need privacy for sauna, so it makes me so uncomfortable.
Plus, the locker is outside the room. It would be more convenient to have a locker inside the room so that we can have more privacy."
Ciputra World Hotel Surabaya,George,1.0,"Very luxurious but dated, the windows are single pane so even on th 19th floor be prepared to enjoy a religious concert at least 4 times a day starting at 4.30 am..Also the walls are very thin, you can hear the telephone ringing from the room next door"
Ciputra World Hotel Surabaya,amir p,5.0,Great Hotel Thanks to Miss Atika from Front desk  who is friendly  and very helpfull.|And also the room were clean and tidy thanks to Ainal|great breakfast and tasty too|near to city and office .....|the room perfect cozy great for relaxing after busy day
Ciputra World Hotel Surabaya,Alhamdi Yosef,5.0,"Good hotel with circle concept, and infinity pool on the rooftop.
Some annoying is odd painting the fat lady in balerina pose, same pose only different angle. Then the elevator has not sound notification when has arrived, so we don't know if the elevator has been come or not if not starely to three elevator door every second."
Ciputra World Hotel Surabaya,Ziarini Karmiadji,5.0,"Second stay here every end year holiday. Always superb service. Room is spacious, breakfast is terrific, and staff especially breakfast service staff is tremendously friendly and helpful. Always recommended to stay in Ciwo."
Ciputra World Hotel Surabaya,Noor Asyikin Mustaffa,5.0,"Location is centralised and with it being attached to the mall, made it convenient for all guests. The rooms are spacious and bathroom was superb. Service is excellent, as always."
Ciputra World Hotel Surabaya,Tiovee Tiovee,5.0,The hotel and the room is good and clean. The breakfast and the food are perfectly delicious. Its also easy if u want to access to the mall because its near.
Ciputra World Hotel Surabaya,Mira Rasa Sari,5.0,"Nice place to stay. So cozy and few steps from the one og big mall in Surabaya.
Room is clean, bfast more variety, specious and nice ambivient.
Great to stay with family. Recomended 👍👍👍"
Ciputra World Hotel Surabaya,Akbar Riyan,5.0,"The hotel is nice and clean, the location is also strategic, close to the mall, the view also looks good in the room, thank you for your help Mr baku"
Ciputra World Hotel Surabaya,Anna Minami,5.0,The Staff is very helpfull and friendly. Got a free room upgrade! The pool view is totally mesmerizing.
Mövenpick Surabaya City,Dory S,5.0,Great hotel with great facilities and excellent service. I got a last-minute upgrade to room 1905 with a city view. The room is clean and big enough for me. Breakfast is great and has many options. They give afternoon tea that's so nice after a hectic meeting all day. It really made my day. thank you for all of the staf for being so helpful and great service
