Hotel_name,name,rating,review
ASTON Bellevue Radio Dalam,Felicia Gunardi,3.0,"We tried this hotel cause my hubby need to do something nearby. We took junior suite 2BR while there was promotion price. The room quite big with 2 bedroom but only 1 bathroom outside the bedroom and quite old. There also kitchen and living room. It's quite clean but unfortunately I found live cockroach near the sink kitchen. They also give you obly empty jar to fill in the water dispenser outside room. The service quite oke except when in breakfast time my son want to take some food, the waiter didn't allow because need to photo it first. While the food in breakfast just usual variation but doesn't taste too good. The location is quite oke, in the middle of the busy district but it also means a lot traffic."
ASTON Bellevue Radio Dalam,M Ang,2.0,"Hotel is south area .
Staff is nice But dont speak english so quite difficult to communicate.
The bed is confortable but a lot of mosquitos in the room and lobby a total nightmare...
No safe in the room...
Breakfast is simple nothing special , no coffee machine juste bad coffee serve.for the same price I recommand Ibis much better quality ..."
ASTON Bellevue Radio Dalam,Diandra Harun,1.0,The worst service experience ive ever encountered in Jkt. Asked for extra 2 pillows as my husband is sick and we are willing to pay but they refuse. Asked to speak to their manager  and waited for 15 minutes and doesnt even want to come out to see me. Wont be recommending this place to any of my family or friends in indo or malay. And im still staying here til this Sunday wish us luck 😭
ASTON Bellevue Radio Dalam,Trip.com Member,1.0,"This is the WORST hotel I have ever stayed in. I couldn't get in after checking in at night. My colleague and I went up and down the x3 times to reset the card and ended up still the same! The bed in the room was dirty and the room was dark! What's even more exaggerated is that the power supply in my room was cut off at 8am in the morning, and then the hotel receptionist told me to restart it myself! I paid at this high price to live in a place like a public toilet!"
ASTON Bellevue Radio Dalam,Bella Salsha,5.0,"I was booked for Iftar Reservation at Aston Belvenue Radio Dalam, it was a great experience to enjoy Indonesian food at one time, good and pleasant service when meeting Ainul, and fast response with Rifai, to fulfill all our needs when iftar time, an unforgettable moment, thank you Aston Belvenue"
ASTON Bellevue Radio Dalam,FandiStevee,1.0,"I went to the spa just for relaxing my tired body but the therapist forced me to get happy ending massage which I don’t want to and she keep asking me for happy ending.. so if you guys looking for happy ending massage, feel free to ask the therapist."
ASTON Bellevue Radio Dalam,Tabi,1.0,"They didnt change their bed sheets or something
I have to ask for a new room twice to at least get a decent but still not the cleanest bed sheet
I found a pubic hair looking thing in the 1st room
And in the 2nd room they gave me twin bed with sheets full of stains
Never had this kind of experience in a 4 star hotel
This brand is known for being great
But this particular branch is not good"
ASTON Bellevue Radio Dalam,Buyung Baskoro,4.0,"Room was good. Food was okay, but restaurant needed more cleanliness standard. Overall, experience was great."
ASTON Bellevue Radio Dalam,arome,2.0,"the staff are not so friendly. Most of the hotel I have booked in my whole life allow check in before 2pm, but for the first time i wait from 1:30 pm till 2pm and still need to wait for 15 min because the room is being vaccum."
ASTON Bellevue Radio Dalam,Chris Andrew (Andrew),3.0,"Came here for a business meeting. The location of this hotel is very strategic, just a couple of minutes walk from a shopping center named Pondok Indah Mall (PIM). To be fair the experience was quite okay and nothing went wrong during my visit.

However, in my opinion, this hotel did not meet my expectations of the ASTON brand. The main reason for this is because the food selection here is very limited and actually have a so so taste. Definitely nothing special. In addition, the pool here is very small and also car parking here is quite difficult. Not a lot of parking space and very difficult to enter as the basement ramp is very narrow."
ASTON Bellevue Radio Dalam,Mario Sales,1.0,"Here I am again to review this hotel. Despiste my extremely bad experience before, due to my office location, this is the best choice to avoid endless time in traffic jams. Maybe better to accept the fact that traffic is part of daily life in Jakarta then to accept that a 4 star hotel (?????) is completly mis-functional. I am currently at the hotel and all the same problems as reported before are still there (here) although the promise of the General Manager that they would be looked at. Nothing happened in more than one month, or at least nothing visible for a guest happened. I am currently in a situation where the AC has been leaking for the whole day. Technicians were called 2 times and problem still remains, with an extra ""interesting"" addendum to the story that the ceiling is starting to crack, putting our safety at risk. Manager was called and the solution is to move to a similar room without no compensation (read, a room upgrade) to at least make a client happier (not happy) after such an unpleasant and hazzardous experience. We will start to pack all our stuff and move and then unpack in the new (read, newly assigned) room.

To finalize, picking up on Mr. Benny C Karambut (General Manager): ""Should you reconsider staying with us again, we'd appreciate the opportunity to provide you with a much-improved experience that aligns with the quality and standards associated with Aston hotels"". You are far far far away from that Mr. Benny!"
ASTON Bellevue Radio Dalam,Tari Zen,5.0,"Best food in the town near area pondok indah mall,with nice ambience and food and service mas Bilal was excellent.
Very kind and fast"
ASTON Bellevue Radio Dalam,Trip.com Member,3.0,"Good location, but facilities are old. The elevator speed is slow and irritating. If you're okay with a cheap hotel, then I think it's a good hotel."
