Hotel_name,name,rating,review
The Phoenix Hotel Yogyakarta - Handwritten Collection,Jim D,5.0,"This is a fantastic hotel and a wonderful introduction to Indonesia.   We had a very comfortable pool overlook room for 4 nights and very much enjoyed returning each night to the hotel for a swim and to our comfortable room.  ||The included breakfasts were a highlight - we particularly liked the wide range of food, particularly Indonesian food, available.  Further the  staff were happy to guide us on how the locals eat the food and how to mix the various tonics.  The staff were also happy to fill our drink bottles for our days exploring Jogja.  ||The hotel is well located - close to the airport rail station and there are banks with ATM machines close by."
The Phoenix Hotel Yogyakarta - Handwritten Collection,Maja G,4.0,"We spent 2 nights there with our 2 boys (age 15 & 18).  The staff were brilliant, 10/10 for the service.  The beds were very comfortable too and we loved the views from the balcony over the pool.  The rooms were lovely and cool given the outside temperature too.  The hotel was centrally located and given that it was also Ramadan, we were surprised how quiet our rooms were.  What bliss after such a long flight from the UK.  The boys loved the gym and highly recommend it. All the hotel need to do is improve the food.  Breakfast was immense but it really focussed on high processed foods and sugar.  Offering less of a selection ""of everything"" and focussing on quality and not quantity might be a winning formula at the Phoenix."
The Phoenix Hotel Yogyakarta - Handwritten Collection,Susan S,5.0,"Beautiful old hotel, with many special touches.  Our suite was lovely.  Big bathroom with tub & lovely amenities.Dining areas were grand…so many stations for food from all over the world.  |Lots of meal options.  A gorgeous pool.  Used the spa for massages."
The Phoenix Hotel Yogyakarta - Handwritten Collection,Jan-Markus H,4.0,"If you like mix of colonial with Indonesian flavor, this is your hotel. The hotel is a bit rustic and old, thus beautiful decorating, rooms are okay but old fashioned. Hotel has nice pool area and ok gym. Also, spa with massage is there. |Breakfast buffet has nice selection but my disappointment was cold food even if I was one of the first at the breakfast. Hopefully they will better in this."
The Phoenix Hotel Yogyakarta - Handwritten Collection,Md Aman,3.0,Heritage hotel located near the Yogyakarta Monument. Posts of antiques and artifacts on display all around the hotel giving it a colonial feel. The room was nice and cozy and loved the balcony with view of the pool. However the room was located at the far end  which required a long and maze like walk to get to the lobby and restaurant. Accessibility within the hotel could be improved. The buffet breakfast had a good mix of western and local cuisine. Staff were polite and friendly.
The Phoenix Hotel Yogyakarta - Handwritten Collection,Kwong L,5.0,"We stayed for 5 days at the Phoenix and were really impressed by all aspects of the hotel. It is centrally and conveniently located and excellent value for money.  Hotel staff at Reception and the Restaurant were exceptional in their warmth and welcome, and always helpful and attentive; they always have a friendly smile and nothing was too much. They even packed us breakfast for our early airport departure. The rooms are excellent - beautifully decorated, very comfortable and spacious (the Deluxe), clean and had everything one needs for a holiday stay.   The Phoenix is a heritage hotel - its decor beautiful and tasteful (not glitzy like other 4* or 5* hotels) which makes sitting in the lobby or reading room, or open-spaced restaurant very restful. The whole place felt very spacious, with long corridors and open courtyards. Breakfast has a wide and sumptuous spread of local Asian and Western choices, and a good selection of fruit and juices to start the day. The restaurant menu is very good and reasonably priced.  We were treated to a tour of the hotel, given a talk of its historical significance - the older, original part of interesting architectural value - and its pride in housing Soekarno's office when Yogya was briefly capital of Indonesia.  All in all, I recommend the Hotel Phoenix totally. Stay there if you are going to Yogya."
The Phoenix Hotel Yogyakarta - Handwritten Collection,Trip.com Member,5.0,"This hotel is really beautiful, with history and atmosphere. Although the hardware is old, it is well maintained and the bath water is very large!The kids loved the pool and there were very few people.We stayed for two nights and the breakfast was very rich every day. There would be new dishes and they would not be completely repeated. It’s so nice to sit outside and have breakfast!"
The Phoenix Hotel Yogyakarta - Handwritten Collection,Maja G.,4.0,"A great location, with comfortable beds.  The staff were brilliant, they exceeded our expectations. The only thing that really needs improving is the food.  There really is too much choice at breakfast and not not enough quality ingredients. It's as if the hotel is trying to cater for absolutely eventuality without doing it well enough.  Lots of processed food, sugar and not enough fresh, quality ingredients."
The Phoenix Hotel Yogyakarta - Handwritten Collection,Aidah S,5.0,"We booked at Phoenix Hotel for 3 nights. |We arrived on 20 April 2024, checked in very late about 2am. Front desk was very helpful.|Our first night room, the room toilet's flush system was not very good so we requested for a change of room.  The hotel was very kind to accommodate the room change.|We were also very happy with the breakfast selection and the service staff Shendy was friendly and helpful.|We will definitely consider this hotel for our next trip."
The Phoenix Hotel Yogyakarta - Handwritten Collection,Trip.com Member,4.0,"Overall, the hotel's decoration looks high-grade and comfortable. The layout is beautiful and has a sense of history. It's worth staying. But the hot water kettle in the room is broken, and points will be deducted for small details. Also, it may be because the sound insulation is not very good. In the morning, the cleaning staff frequently opened and closed other rooms to clean and rest. I couldn't help but check out early. Could it be that the staff was in a bad mood and behaved rudely?"
The Phoenix Hotel Yogyakarta - Handwritten Collection,Marior Kosovi,5.0,"Greetings!
A lovely Hotel !!
Great Team! Extra ordinary !
has the location that very nice middle of the city and easy to go for a lot of destinaton like a malioboro, 0km of the city and a lot of street food u can find arround the area , it is show me the really of yogyakarta city , rooms condition was perfect clean and tidy , i love the rooms view and the art of this hotel , I would really appreciate the rooms Team they are really stars who made my stay most memorable and comfortable."
The Phoenix Hotel Yogyakarta - Handwritten Collection,Jonathan W,5.0,Welcoming staff: They really couldn't do enough for us. And they enjoyed playing with our three-year-old. || Central location: Very quick to access the main sites. ||Generous breakfast: Great spread. And also a decent restaurant for lunch and dinner. ||Happy Times!
The Phoenix Hotel Yogyakarta - Handwritten Collection,Trip.com Member,4.5,"There are different opinions on the Internet. The good ones are praised to the heavens, while the bad ones are called Internet celebrities. Personally, it feels good, a humanistic hotel. The facilities are definitely a bit old, but acceptable. Glass bottled water, environmentally friendly. The breakfast was very good, with rich dishes and a good dining environment. In addition, the location is okay, but it is still a bit far from the train station and requires a taxi."
The Phoenix Hotel Yogyakarta - Handwritten Collection,Trip.com Member,5.0,"When booking the room in advance, I stated that it was a wedding anniversary, so the decoration was grand. Thank you for your thoughtfulness! The hotel has a strong Indonesian historical style, and there are many historical objects placed in the corridors, which make people feel nostalgic for the past and lament that time flies and life is short! The front desk staff are warm and friendly, always greeting you with a smile, making you feel at home; those friendly smiles when we meet during the trip are always unforgettable!"
The Phoenix Hotel Yogyakarta - Handwritten Collection,Anne Wil Stegeman,5.0,"Our stay in The Phoenix Hotel was absolutely memorable. Everything was just perfect. Ghita and Shendy, we really appreciate how you made our 3 year old son feel at home being so far away from home (Holland). Great thank you"
The Phoenix Hotel Yogyakarta - Handwritten Collection,See fei,4.0,"Nice building and decoration with good service from the staffs. The rooms were a bit dated. The towels were clean but aged, time to change. The teapot in the room was weird. Other than that all is well."
The Phoenix Hotel Yogyakarta - Handwritten Collection,Reiko K,5.0,"In any sorts aspect this was an excellent place to stay. All the staff were so friendly and helpful. We enjoyed long breakfast with so many variety of cuisine. Historical tour inside of the hotel made our stay very  special, too. Thank you!|(They made packed breakfast for my early start journey specifically which was so tasty!)"
The Phoenix Hotel Yogyakarta - Handwritten Collection,Trip.com Member,5.0,"Awesome hotel. Classic and excellent hotel. From decoration to service, it is impeccable.I especially like the hotel's furniture. The service is also very good. It's also very close to the city center. It's very cheap to download the taxi app.Breakfast is also good, especially the swimming poolHotel waiters, every one of them is smiling"
